year,GEOID,NAME,variable,estimate,moe
2010,47157,"Shelby County, Tennessee",B25001_001,396303,741
2011,47157,"Shelby County, Tennessee",B25001_001,397580,496
2012,47157,"Shelby County, Tennessee",B25001_001,398847,476
2013,47157,"Shelby County, Tennessee",B25001_001,399366,370
2014,47157,"Shelby County, Tennessee",B25001_001,400572,508
2015,47157,"Shelby County, Tennessee",B25001_001,401715,427
2016,47157,"Shelby County, Tennessee",B25001_001,403101,315
2017,47157,"Shelby County, Tennessee",B25001_001,403206,360
2018,47157,"Shelby County, Tennessee",B25001_001,404284,450
2019,47157,"Shelby County, Tennessee",B25001_001,405184,415
2020,47157,"Shelby County, Tennessee",B25001_001,406026,391
