PARCELID,YRBLT,GRADE,COND,CDU,USER1,TAXDIST
D0217   00225,2017,50,3,EX,NA,SHELBY COUNTY
D0223E A00020,1991,40,3,GD,NA,SHELBY COUNTY
C0232P D00013,1994,50,3,VG,Y,COLLIERVILLE
G0231K B00006,1985,45,3,VG,Y,GERMANTOWN
C0245Y C00042,1989,40,3,GD,NA,COLLIERVILLE
D0258   00166,1978,45,3,EX,Y,SHELBY COUNTY
G0221D J00050,2013,45,3,VG,NA,GERMANTOWN
D0258   00398,2008,40,3,GD,NA,SHELBY COUNTY
G0221E E00019,2008,55,3,EX,NA,GERMANTOWN
C0243U B00026,2012,60,3,EX,NA,COLLIERVILLE
C0243U B00049,2011,55,3,EX,NA,COLLIERVILLE
C0244K D00009,2016,45,3,VG,NA,COLLIERVILLE
C0245J B00005,2000,25,3,FR,Y,COLLIERVILLE
C0258X A00035,2006,50,3,VG,NA,COLLIERVILLE
C0258X A00036,2008,45,3,VG,NA,COLLIERVILLE
C0258X A00012,2006,50,3,VG,NA,COLLIERVILLE
G0231P B00014,1978,40,3,GD,Y,GERMANTOWN
C0232T B00016,2019,60,3,EX,NA,COLLIERVILLE
C0232Q G00036,2002,55,3,EX,NA,COLLIERVILLE
C0243F E00012,2017,50,3,VG,NA,COLLIERVILLE
D0222   00541,2006,55,3,EX,NA,SHELBY COUNTY
C0258M C00049,2003,45,3,VG,NA,COLLIERVILLE
C0258R A00005,2005,50,3,VG,NA,COLLIERVILLE
G0221D K00030,2015,50,3,EX,NA,GERMANTOWN
C0258R B00027,2006,50,3,VG,NA,COLLIERVILLE
C0258R B00009,2013,50,3,VG,NA,COLLIERVILLE
D0216   00252,1950,25,3,PR,Y,SHELBY COUNTY
C0258R B00032,2012,45,3,VG,NA,COLLIERVILLE
C0243   00363C,1986,50,3,EX,Y,COLLIERVILLE
G0232   00553,1967,50,3,VG,Y,GERMANTOWN
G0231   00616,2015,70,3,EX,NA,GERMANTOWN
C0257U D00029,2004,40,3,GD,NA,COLLIERVILLE
C0258W B00017,2006,45,3,VG,NA,COLLIERVILLE
D0222R A00010,2007,70,3,EX,NA,SHELBY COUNTY
D0222R A00006,2017,70,3,EX,NA,SHELBY COUNTY
D0222R A00009,2007,70,3,EX,NA,SHELBY COUNTY
D0222R A00008,2006,70,3,EX,NA,SHELBY COUNTY
D0222R A00007,2015,65,3,EX,NA,SHELBY COUNTY
C0243U B00029,2016,60,3,EX,NA,COLLIERVILLE
C0257U D00001,2003,40,3,GD,NA,COLLIERVILLE
C0257U D00013,2004,40,3,GD,NA,COLLIERVILLE
C0258M C00092,2003,45,3,VG,NA,COLLIERVILLE
C0221A A00002,2005,45,3,VG,NA,COLLIERVILLE
C0221A A00003,2006,45,3,VG,NA,COLLIERVILLE
C0221A A00004,2007,45,3,VG,NA,COLLIERVILLE
C0221A A00005,2004,40,3,VG,NA,COLLIERVILLE
D0216X B00006,1997,45,3,VG,NA,SHELBY COUNTY
C0233H E00013,2014,55,3,EX,NA,COLLIERVILLE
C0258R B00036,2008,50,3,VG,NA,COLLIERVILLE
C0258R B00035,2007,50,3,VG,NA,COLLIERVILLE
G0221E E00044,2006,55,3,EX,NA,GERMANTOWN
G0221E E00020,2007,55,3,EX,NA,GERMANTOWN
