year,GEOID,NAME,variable,estimate,moe
2005,4748000,"Memphis city, Tennessee",B07011_001,19914,670
2005,4748000,"Memphis city, Tennessee",B07011_002,21401,747
2005,4748000,"Memphis city, Tennessee",B07011_003,15624,2075
2005,4748000,"Memphis city, Tennessee",B07011_004,9462,4535
2005,4748000,"Memphis city, Tennessee",B07011_005,16229,1843
2005,4748000,"Memphis city, Tennessee",B07011_006,4789,10667
2006,4748000,"Memphis city, Tennessee",B07011_001,20016,703
2006,4748000,"Memphis city, Tennessee",B07011_002,20691,712
2006,4748000,"Memphis city, Tennessee",B07011_003,15812,1422
2006,4748000,"Memphis city, Tennessee",B07011_004,14427,11899
2006,4748000,"Memphis city, Tennessee",B07011_005,23867,3748
2006,4748000,"Memphis city, Tennessee",B07011_006,19405,6302
2007,4748000,"Memphis city, Tennessee",B07011_001,20662,465
2007,4748000,"Memphis city, Tennessee",B07011_002,21510,593
2007,4748000,"Memphis city, Tennessee",B07011_003,16110,1445
2007,4748000,"Memphis city, Tennessee",B07011_004,21726,9582
2007,4748000,"Memphis city, Tennessee",B07011_005,20628,4508
2007,4748000,"Memphis city, Tennessee",B07011_006,21753,6190
2008,4748000,"Memphis city, Tennessee",B07011_001,21282,613
2008,4748000,"Memphis city, Tennessee",B07011_002,22679,822
2008,4748000,"Memphis city, Tennessee",B07011_003,16332,1397
2008,4748000,"Memphis city, Tennessee",B07011_004,12344,13161
2008,4748000,"Memphis city, Tennessee",B07011_005,18657,3223
2008,4748000,"Memphis city, Tennessee",B07011_006,12580,10033
2009,4748000,"Memphis city, Tennessee",B07011_001,19359,677
2009,4748000,"Memphis city, Tennessee",B07011_002,20424,809
2009,4748000,"Memphis city, Tennessee",B07011_003,15790,1419
2009,4748000,"Memphis city, Tennessee",B07011_004,11405,4647
2009,4748000,"Memphis city, Tennessee",B07011_005,20383,4403
2009,4748000,"Memphis city, Tennessee",B07011_006,11427,3133
2010,4748000,"Memphis city, Tennessee",B07011_001,21186,619
2010,4748000,"Memphis city, Tennessee",B07011_002,22335,811
2010,4748000,"Memphis city, Tennessee",B07011_003,15585,1206
2010,4748000,"Memphis city, Tennessee",B07011_004,13398,4833
2010,4748000,"Memphis city, Tennessee",B07011_005,22329,3722
2010,4748000,"Memphis city, Tennessee",B07011_006,41375,4522
2011,4748000,"Memphis city, Tennessee",B07011_001,20544,633
2011,4748000,"Memphis city, Tennessee",B07011_002,21626,727
