year,GEOID,variable,estimate,moe,summary_est,summary_moe
2021,35620,B25003_001,7248123,11251,7248123,11251
2021,35620,B25003_002,3752874,18170,7248123,11251
2021,35620,B25003_003,3495249,11813,7248123,11251
2021,31080,B25003_001,4400403,6791,4400403,6791
2021,31080,B25003_002,2148369,12357,4400403,6791
2021,31080,B25003_003,2252034,8298,4400403,6791
2021,16980,B25003_001,3620900,5749,3620900,5749
2021,16980,B25003_002,2356248,11169,3620900,5749
2021,16980,B25003_003,1264652,9315,3620900,5749
2021,19100,B25003_001,2693107,4793,2693107,4793
2021,19100,B25003_002,1612144,8347,2693107,4793
2021,19100,B25003_003,1080963,6267,2693107,4793
2021,26420,B25003_001,2459818,5168,2459818,5168
2021,26420,B25003_002,1505533,8769,2459818,5168
2021,26420,B25003_003,954285,8493,2459818,5168
2021,37980,B25003_001,2391340,4159,2391340,4159
2021,37980,B25003_002,1602406,8401,2391340,4159
2021,37980,B25003_003,788934,7005,2391340,4159
2021,47900,B25003_001,2332981,4425,2332981,4425
2021,47900,B25003_002,1486166,7897,2332981,4425
2021,47900,B25003_003,846815,5846,2332981,4425
2021,33100,B25003_001,2249934,5769,2249934,5769
2021,33100,B25003_002,1348710,8662,2249934,5769
2021,33100,B25003_003,901224,6111,2249934,5769
2021,12060,B25003_001,2209498,5252,2209498,5252
2021,12060,B25003_002,1430955,9720,2209498,5252
2021,12060,B25003_003,778543,7625,2209498,5252
2021,14460,B25003_001,1895247,3567,1895247,3567
2021,14460,B25003_002,1166581,6230,1895247,3567
2021,14460,B25003_003,728666,5319,1895247,3567
2021,38060,B25003_001,1777705,4088,1777705,4088
2021,38060,B25003_002,1155238,5951,1777705,4088
2021,38060,B25003_003,622467,4626,1777705,4088
2021,19820,B25003_001,1731006,4061,1731006,4061
2021,19820,B25003_002,1214086,5890,1731006,4061
2021,19820,B25003_003,516920,4177,1731006,4061
2021,41860,B25003_001,1716654,4203,1716654,4203
2021,41860,B25003_002,947261,6529,1716654,4203
2021,41860,B25003_003,769393,5089,1716654,4203
2021,42660,B25003_001,1541247,2727,1541247,2727
2021,42660,B25003_002,933755,5258,1541247,2727
2021,42660,B25003_003,607492,4264,1541247,2727
2021,33460,B25003_001,1420611,2663,1420611,2663
2021,33460,B25003_002,1006383,4655,1420611,2663
2021,33460,B25003_003,414228,3879,1420611,2663
2021,40140,B25003_001,1392249,3091,1392249,3091
2021,40140,B25003_002,898718,5506,1392249,3091
2021,40140,B25003_003,493531,4597,1392249,3091
2021,45300,B25003_001,1258667,4139,1258667,4139
2021,45300,B25003_002,834658,5415,1258667,4139
2021,45300,B25003_003,424009,4701,1258667,4139
2021,19740,B25003_001,1155612,2452,1155612,2452
2021,19740,B25003_002,744062,4223,1155612,2452
2021,19740,B25003_003,411550,4018,1155612,2452
2021,41740,B25003_001,1139899,3376,1139899,3376
2021,41740,B25003_002,616193,5044,1139899,3376
2021,41740,B25003_003,523706,4504,1139899,3376
2021,41180,B25003_001,1136574,3244,1136574,3244
2021,41180,B25003_002,793146,4517,1136574,3244
2021,41180,B25003_003,343428,4453,1136574,3244
2021,12580,B25003_001,1087833,2761,1087833,2761
2021,12580,B25003_002,728807,4645,1087833,2761
2021,12580,B25003_003,359026,4423,1087833,2761
2021,38300,B25003_001,1015962,2937,1015962,2937
2021,38300,B25003_002,713143,4169,1015962,2937
2021,38300,B25003_003,302819,3235,1015962,2937
2021,16740,B25003_001,1001934,2652,1001934,2652
2021,16740,B25003_002,661182,4481,1001934,2652
2021,16740,B25003_003,340752,3803,1001934,2652
2021,38900,B25003_001,972105,2135,972105,2135
2021,38900,B25003_002,606408,4261,972105,2135
2021,38900,B25003_003,365697,3954,972105,2135
2021,36740,B25003_001,915794,4209,915794,4209
2021,36740,B25003_002,573466,5252,915794,4209
2021,36740,B25003_003,342328,4168,915794,4209
2021,41700,B25003_001,910534,2575,910534,2575
2021,41700,B25003_002,573116,4408,910534,2575
2021,41700,B25003_003,337418,4245,910534,2575
2021,17140,B25003_001,882334,2696,882334,2696
2021,17140,B25003_002,595424,4038,882334,2696
2021,17140,B25003_003,286910,3459,882334,2696
2021,17460,B25003_001,879593,2384,879593,2384
2021,17460,B25003_002,571324,4008,879593,2384
2021,17460,B25003_003,308269,3228,879593,2384
2021,12420,B25003_001,862517,2880,862517,2880
2021,12420,B25003_002,509204,3980,862517,2880
2021,12420,B25003_003,353313,4090,862517,2880
2021,28140,B25003_001,858836,2957,858836,2957
2021,28140,B25003_002,560653,4013,858836,2957
2021,28140,B25003_003,298183,3285,858836,2957
2021,40900,B25003_001,858756,1893,858756,1893
2021,40900,B25003_002,528708,4132,858756,1893
2021,40900,B25003_003,330048,3806,858756,1893
2021,18140,B25003_001,832741,2575,832741,2575
2021,18140,B25003_002,513798,3651,832741,2575
2021,18140,B25003_003,318943,3085,832741,2575
2021,29820,B25003_001,816296,2377,816296,2377
2021,29820,B25003_002,452624,4036,816296,2377
2021,29820,B25003_003,363672,3604,816296,2377
2021,26900,B25003_001,809970,2989,809970,2989
2021,26900,B25003_002,534756,4527,809970,2989
2021,26900,B25003_003,275214,3851,809970,2989
2021,4701740,B25003_001,4383,266,4383,266
2021,4701740,B25003_002,3694,334,4383,266
2021,4701740,B25003_003,689,235,4383,266
2021,4703440,B25003_001,20047,743,20047,743
2021,4703440,B25003_002,17247,753,20047,743
2021,4703440,B25003_003,2800,452,20047,743
2021,4716420,B25003_001,17699,627,17699,627
2021,4716420,B25003_002,14076,675,17699,627
2021,4716420,B25003_003,3623,467,17699,627
2021,4728960,B25003_001,15358,577,15358,577
2021,4728960,B25003_002,13438,593,15358,577
2021,4728960,B25003_003,1920,331,15358,577
2021,4740350,B25003_001,4834,258,4834,258
2021,4740350,B25003_002,4058,287,4834,258
2021,4740350,B25003_003,776,260,4834,258
2021,4748000,B25003_001,249554,2078,249554,2078
2021,4748000,B25003_002,116737,2409,249554,2078
2021,4748000,B25003_003,132817,2330,249554,2078
2021,4749060,B25003_001,4086,427,4086,427
2021,4749060,B25003_002,2537,418,4086,427
2021,4749060,B25003_003,1549,262,4086,427
2021,47157,B25003_001,354736,1816,354736,1816
2021,47157,B25003_002,197116,2592,354736,1816
2021,47157,B25003_003,157620,2652,354736,1816
2021,4700000,B25003_001,38775,NA,38775,NA
2021,4700000,B25003_002,25329,NA,38775,NA
2021,4700000,B25003_003,13446,NA,38775,NA
2021,47157000100,B25003_001,3097,437,3097,437
2021,47157000100,B25003_002,1068,282,3097,437
2021,47157000100,B25003_003,2029,325,3097,437
2021,47157000200,B25003_001,421,79,421,79
2021,47157000200,B25003_002,101,51,421,79
2021,47157000200,B25003_003,320,85,421,79
2021,47157000300,B25003_001,262,54,262,54
2021,47157000300,B25003_002,126,46,262,54
2021,47157000300,B25003_003,136,48,262,54
2021,47157000400,B25003_001,451,84,451,84
2021,47157000400,B25003_002,139,43,451,84
2021,47157000400,B25003_003,312,81,451,84
2021,47157000600,B25003_001,728,145,728,145
2021,47157000600,B25003_002,288,82,728,145
2021,47157000600,B25003_003,440,140,728,145
2021,47157000700,B25003_001,1966,236,1966,236
2021,47157000700,B25003_002,981,186,1966,236
2021,47157000700,B25003_003,985,190,1966,236
2021,47157000800,B25003_001,943,250,943,250
2021,47157000800,B25003_002,286,74,943,250
2021,47157000800,B25003_003,657,253,943,250
2021,47157000900,B25003_001,989,174,989,174
2021,47157000900,B25003_002,463,158,989,174
2021,47157000900,B25003_003,526,138,989,174
2021,47157001100,B25003_001,911,138,911,138
2021,47157001100,B25003_002,426,120,911,138
2021,47157001100,B25003_003,485,122,911,138
2021,47157001200,B25003_001,1243,89,1243,89
2021,47157001200,B25003_002,624,117,1243,89
2021,47157001200,B25003_003,619,128,1243,89
2021,47157001300,B25003_001,898,122,898,122
2021,47157001300,B25003_002,470,120,898,122
2021,47157001300,B25003_003,428,115,898,122
2021,47157001400,B25003_001,610,132,610,132
2021,47157001400,B25003_002,163,55,610,132
2021,47157001400,B25003_003,447,138,610,132
2021,47157001500,B25003_001,697,84,697,84
2021,47157001500,B25003_002,416,77,697,84
2021,47157001500,B25003_003,281,70,697,84
2021,47157001600,B25003_001,917,106,917,106
2021,47157001600,B25003_002,684,98,917,106
2021,47157001600,B25003_003,233,81,917,106
2021,47157001700,B25003_001,1924,312,1924,312
2021,47157001700,B25003_002,1101,290,1924,312
2021,47157001700,B25003_003,823,254,1924,312
2021,47157001900,B25003_001,590,136,590,136
2021,47157001900,B25003_002,253,118,590,136
2021,47157001900,B25003_003,337,108,590,136
2021,47157002000,B25003_001,681,115,681,115
2021,47157002000,B25003_002,182,62,681,115
2021,47157002000,B25003_003,499,125,681,115
2021,47157002100,B25003_001,693,89,693,89
2021,47157002100,B25003_002,160,79,693,89
2021,47157002100,B25003_003,533,120,693,89
2021,47157002400,B25003_001,840,144,840,144
2021,47157002400,B25003_002,151,54,840,144
2021,47157002400,B25003_003,689,141,840,144
2021,47157002500,B25003_001,1286,293,1286,293
2021,47157002500,B25003_002,513,129,1286,293
2021,47157002500,B25003_003,773,283,1286,293
2021,47157002600,B25003_001,1183,185,1183,185
2021,47157002600,B25003_002,711,159,1183,185
2021,47157002600,B25003_003,472,106,1183,185
2021,47157002700,B25003_001,726,88,726,88
2021,47157002700,B25003_002,433,88,726,88
2021,47157002700,B25003_003,293,69,726,88
2021,47157002800,B25003_001,1526,244,1526,244
2021,47157002800,B25003_002,582,213,1526,244
2021,47157002800,B25003_003,944,179,1526,244
2021,47157002900,B25003_001,2173,270,2173,270
2021,47157002900,B25003_002,1788,260,2173,270
2021,47157002900,B25003_003,385,141,2173,270
2021,47157003000,B25003_001,1463,311,1463,311
2021,47157003000,B25003_002,583,99,1463,311
2021,47157003000,B25003_003,880,321,1463,311
2021,47157003100,B25003_001,1638,268,1638,268
2021,47157003100,B25003_002,785,225,1638,268
2021,47157003100,B25003_003,853,178,1638,268
2021,47157003200,B25003_001,2081,284,2081,284
2021,47157003200,B25003_002,637,201,2081,284
2021,47157003200,B25003_003,1444,244,2081,284
2021,47157003300,B25003_001,1164,202,1164,202
2021,47157003300,B25003_002,897,202,1164,202
2021,47157003300,B25003_003,267,60,1164,202
2021,47157003400,B25003_001,1381,393,1381,393
2021,47157003400,B25003_002,275,69,1381,393
2021,47157003400,B25003_003,1106,397,1381,393
2021,47157003500,B25003_001,1581,270,1581,270
2021,47157003500,B25003_002,840,155,1581,270
2021,47157003500,B25003_003,741,220,1581,270
2021,47157003600,B25003_001,916,97,916,97
2021,47157003600,B25003_002,88,53,916,97
2021,47157003600,B25003_003,828,112,916,97
2021,47157003700,B25003_001,764,96,764,96
2021,47157003700,B25003_002,0,13,764,96
2021,47157003700,B25003_003,764,96,764,96
2021,47157003800,B25003_001,438,54,438,54
2021,47157003800,B25003_002,0,13,438,54
2021,47157003800,B25003_003,438,54,438,54
2021,47157003900,B25003_001,1132,213,1132,213
2021,47157003900,B25003_002,7,12,1132,213
2021,47157003900,B25003_003,1125,215,1132,213
2021,47157004200,B25003_001,2236,172,2236,172
2021,47157004200,B25003_002,729,150,2236,172
2021,47157004200,B25003_003,1507,207,2236,172
2021,47157004300,B25003_001,1943,317,1943,317
2021,47157004300,B25003_002,722,149,1943,317
2021,47157004300,B25003_003,1221,332,1943,317
2021,47157004500,B25003_001,381,99,381,99
2021,47157004500,B25003_002,40,25,381,99
2021,47157004500,B25003_003,341,105,381,99
2021,47157004600,B25003_001,658,122,658,122
2021,47157004600,B25003_002,145,56,658,122
2021,47157004600,B25003_003,513,115,658,122
2021,47157005000,B25003_001,366,68,366,68
2021,47157005000,B25003_002,55,32,366,68
2021,47157005000,B25003_003,311,69,366,68
2021,47157005300,B25003_001,1151,174,1151,174
2021,47157005300,B25003_002,476,105,1151,174
2021,47157005300,B25003_003,675,181,1151,174
2021,47157005500,B25003_001,812,198,812,198
2021,47157005500,B25003_002,296,95,812,198
2021,47157005500,B25003_003,516,174,812,198
2021,47157005600,B25003_001,1531,212,1531,212
2021,47157005600,B25003_002,865,159,1531,212
2021,47157005600,B25003_003,666,201,1531,212
2021,47157005700,B25003_001,872,137,872,137
2021,47157005700,B25003_002,323,69,872,137
2021,47157005700,B25003_003,549,129,872,137
2021,47157005800,B25003_001,340,75,340,75
2021,47157005800,B25003_002,50,33,340,75
2021,47157005800,B25003_003,290,78,340,75
2021,47157005900,B25003_001,575,110,575,110
2021,47157005900,B25003_002,295,100,575,110
2021,47157005900,B25003_003,280,109,575,110
2021,47157006000,B25003_001,755,119,755,119
2021,47157006000,B25003_002,339,99,755,119
2021,47157006000,B25003_003,416,93,755,119
2021,47157006200,B25003_001,687,183,687,183
2021,47157006200,B25003_002,387,168,687,183
2021,47157006200,B25003_003,300,99,687,183
2021,47157006300,B25003_001,1149,204,1149,204
2021,47157006300,B25003_002,725,142,1149,204
2021,47157006300,B25003_003,424,166,1149,204
2021,47157006400,B25003_001,696,104,696,104
2021,47157006400,B25003_002,429,77,696,104
2021,47157006400,B25003_003,267,109,696,104
2021,47157006500,B25003_001,971,132,971,132
2021,47157006500,B25003_002,354,104,971,132
2021,47157006500,B25003_003,617,142,971,132
2021,47157006600,B25003_001,1290,217,1290,217
2021,47157006600,B25003_002,337,94,1290,217
2021,47157006600,B25003_003,953,204,1290,217
2021,47157006700,B25003_001,1283,252,1283,252
2021,47157006700,B25003_002,443,153,1283,252
2021,47157006700,B25003_003,840,203,1283,252
2021,47157006800,B25003_001,795,128,795,128
2021,47157006800,B25003_002,420,84,795,128
2021,47157006800,B25003_003,375,126,795,128
2021,47157006900,B25003_001,1027,144,1027,144
2021,47157006900,B25003_002,559,120,1027,144
2021,47157006900,B25003_003,468,139,1027,144
2021,47157007000,B25003_001,1196,166,1196,166
2021,47157007000,B25003_002,293,87,1196,166
2021,47157007000,B25003_003,903,186,1196,166
2021,47157007100,B25003_001,1144,203,1144,203
2021,47157007100,B25003_002,965,207,1144,203
2021,47157007100,B25003_003,179,103,1144,203
2021,47157007200,B25003_001,1566,189,1566,189
2021,47157007200,B25003_002,846,152,1566,189
2021,47157007200,B25003_003,720,182,1566,189
2021,47157007300,B25003_001,1557,226,1557,226
2021,47157007300,B25003_002,344,109,1557,226
2021,47157007300,B25003_003,1213,224,1557,226
2021,47157007400,B25003_001,1386,166,1386,166
2021,47157007400,B25003_002,310,106,1386,166
2021,47157007400,B25003_003,1076,184,1386,166
2021,47157007500,B25003_001,590,113,590,113
2021,47157007500,B25003_002,371,98,590,113
2021,47157007500,B25003_003,219,103,590,113
2021,47157007810,B25003_001,1043,247,1043,247
2021,47157007810,B25003_002,440,234,1043,247
2021,47157007810,B25003_003,603,131,1043,247
2021,47157007821,B25003_001,2314,526,2314,526
2021,47157007821,B25003_002,904,317,2314,526
2021,47157007821,B25003_003,1410,540,2314,526
2021,47157007822,B25003_001,587,83,587,83
2021,47157007822,B25003_002,380,89,587,83
2021,47157007822,B25003_003,207,74,587,83
2021,47157007900,B25003_001,2265,407,2265,407
2021,47157007900,B25003_002,1225,355,2265,407
2021,47157007900,B25003_003,1040,303,2265,407
2021,47157008000,B25003_001,1934,247,1934,247
2021,47157008000,B25003_002,850,204,1934,247
2021,47157008000,B25003_003,1084,318,1934,247
2021,47157008110,B25003_001,787,93,787,93
2021,47157008110,B25003_002,314,75,787,93
2021,47157008110,B25003_003,473,106,787,93
2021,47157008120,B25003_001,2272,317,2272,317
2021,47157008120,B25003_002,1018,265,2272,317
2021,47157008120,B25003_003,1254,281,2272,317
2021,47157008200,B25003_001,1471,174,1471,174
2021,47157008200,B25003_002,560,160,1471,174
