PARCELID,YRBLT,GRADE,COND,CDU,USER1,TAXDIST
083018  00034,1950,20,3,FR,Y,MEMPHIS
083035  00017,1951,30,3,FR,Y,MEMPHIS
D0147S C00014,2010,35,3,AV,NA,SHELBY COUNTY
D0147S C00043,2006,35,3,AV,NA,SHELBY COUNTY
D0147S B00023,2002,35,3,GD,NA,SHELBY COUNTY
D0147S C00020,2006,35,3,AV,NA,SHELBY COUNTY
D0147S B00026,2004,35,3,AV,NA,SHELBY COUNTY
D0147S B00027,2002,35,3,AV,NA,SHELBY COUNTY
D0147S B00028,2003,35,3,AV,NA,SHELBY COUNTY
D0147  H00019,1990,35,3,AV,NA,SHELBY COUNTY
D0147S C00047,2004,35,3,AV,NA,SHELBY COUNTY
084020  00063,1945,35,3,AV,Y,MEMPHIS
084020  00061,1981,35,3,AV,NA,MEMPHIS
D0147T A00034,2003,35,3,AV,NA,SHELBY COUNTY
088048 E00052,2018,35,3,GD,NA,MEMPHIS
088048 E00051,2007,30,3,AV,NA,MEMPHIS
088048 E00050,2018,35,3,AV,NA,MEMPHIS
088048 E00049,2018,35,3,AV,NA,MEMPHIS
088048 D00048,2004,30,3,AV,NA,MEMPHIS
088048 E00048,2007,30,3,AV,NA,MEMPHIS
088048 E00047,2018,35,3,AV,NA,MEMPHIS
088048 D00007,2003,30,3,AV,NA,MEMPHIS
088048 D00008,2003,30,3,AV,NA,MEMPHIS
088048 E00011,2019,30,4,AV,NA,MEMPHIS
088048 D00058,2004,30,3,AV,NA,MEMPHIS
088048 B00060,2003,30,3,AV,NA,MEMPHIS
D0148  I00013C,1954,35,3,AV,Y,SHELBY COUNTY
D0148  I00010,1981,35,3,GD,Y,SHELBY COUNTY
D0148  I00023,2012,40,3,GD,NA,SHELBY COUNTY
D0148  I00022,1954,30,3,GD,Y,SHELBY COUNTY
090026 B00001,2004,30,1,PR,NA,MEMPHIS
090026 B00002,2004,30,1,UN,NA,MEMPHIS
090026 B00004,2004,30,3,GD,NA,MEMPHIS
090026 B00005,2004,30,3,FR,NA,MEMPHIS
090026 B00006,2004,30,3,FR,NA,MEMPHIS
090026 B00007,2003,30,3,FR,NA,MEMPHIS
090026 B00008,2003,30,3,GD,NA,MEMPHIS
D0147  L00056,1982,30,3,AV,Y,SHELBY COUNTY
D0147  L00031,1983,30,3,AV,Y,SHELBY COUNTY
D0147  L00054,1983,30,3,AV,Y,SHELBY COUNTY
085020  00036,1987,35,3,AV,Y,MEMPHIS
D0147   00051C,1970,35,3,AV,Y,SHELBY COUNTY
D0147   00026,1951,30,3,AV,Y,SHELBY COUNTY
D0147T A00024,2003,35,3,GD,NA,SHELBY COUNTY
090034  00013,1970,30,2,FR,Y,MEMPHIS
090033  00029,1972,30,3,FR,Y,MEMPHIS
