year,GEOID,NAME,variable,estimate,moe
2005,4748000,"Memphis city, Tennessee",B25001_001,299386,3148
2006,4748000,"Memphis city, Tennessee",B25001_001,294262,3647
2007,4748000,"Memphis city, Tennessee",B25001_001,297383,3353
2008,4748000,"Memphis city, Tennessee",B25001_001,298204,3685
2009,4748000,"Memphis city, Tennessee",B25001_001,309811,3679
2010,47157,"Shelby County, Tennessee",B25001_001,398395,1939
2010,4748000,"Memphis city, Tennessee",B25001_001,293845,3302
2011,47157,"Shelby County, Tennessee",B25001_001,398014,911
2011,4748000,"Memphis city, Tennessee",B25001_001,294145,3322
2012,47157,"Shelby County, Tennessee",B25001_001,399778,804
2012,4748000,"Memphis city, Tennessee",B25001_001,296840,3327
2013,47157,"Shelby County, Tennessee",B25001_001,401161,842
2013,4748000,"Memphis city, Tennessee",B25001_001,297610,2917
2014,47157,"Shelby County, Tennessee",B25001_001,403395,878
2014,4748000,"Memphis city, Tennessee",B25001_001,300637,3089
2015,47157,"Shelby County, Tennessee",B25001_001,404294,995
2015,4748000,"Memphis city, Tennessee",B25001_001,299953,3373
2016,47157,"Shelby County, Tennessee",B25001_001,406023,800
2016,4748000,"Memphis city, Tennessee",B25001_001,303888,3228
2017,47157,"Shelby County, Tennessee",B25001_001,405590,825
2017,4748000,"Memphis city, Tennessee",B25001_001,298121,3353
2018,47157,"Shelby County, Tennessee",B25001_001,406236,842
2018,4748000,"Memphis city, Tennessee",B25001_001,300305,3664
2019,47157,"Shelby County, Tennessee",B25001_001,407303,814
2019,4748000,"Memphis city, Tennessee",B25001_001,301473,4146
2021,47157,"Shelby County, Tennessee",B25001_001,401377,2111
2005,4748000,"Memphis city, Tennessee",B25002_001,299386,3148
2006,4748000,"Memphis city, Tennessee",B25002_001,294262,3647
2007,4748000,"Memphis city, Tennessee",B25002_001,297383,3353
2008,4748000,"Memphis city, Tennessee",B25002_001,298204,3685
2009,4748000,"Memphis city, Tennessee",B25002_001,309811,3679
2010,4748000,"Memphis city, Tennessee",B25002_001,293845,3302
2011,4748000,"Memphis city, Tennessee",B25002_001,294145,3322
2012,4748000,"Memphis city, Tennessee",B25002_001,296840,3327
2013,4748000,"Memphis city, Tennessee",B25002_001,297610,2917
2014,4748000,"Memphis city, Tennessee",B25002_001,300637,3089
2015,4748000,"Memphis city, Tennessee",B25002_001,299953,3373
2016,4748000,"Memphis city, Tennessee",B25002_001,303888,3228
2017,4748000,"Memphis city, Tennessee",B25002_001,298121,3353
2018,4748000,"Memphis city, Tennessee",B25002_001,300305,3664
2019,4748000,"Memphis city, Tennessee",B25002_001,301473,4146
2005,4748000,"Memphis city, Tennessee",B25002_002,261983,4867
2006,4748000,"Memphis city, Tennessee",B25002_002,248836,5436
2007,4748000,"Memphis city, Tennessee",B25002_002,250885,4727
2008,4748000,"Memphis city, Tennessee",B25002_002,244929,4698
2009,4748000,"Memphis city, Tennessee",B25002_002,254006,4635
2010,4748000,"Memphis city, Tennessee",B25002_002,241400,4203
2011,4748000,"Memphis city, Tennessee",B25002_002,245836,4445
2012,4748000,"Memphis city, Tennessee",B25002_002,247478,3642
2013,4748000,"Memphis city, Tennessee",B25002_002,250302,4332
2014,4748000,"Memphis city, Tennessee",B25002_002,250553,3753
2015,4748000,"Memphis city, Tennessee",B25002_002,250324,4428
2016,4748000,"Memphis city, Tennessee",B25002_002,256973,4572
2017,4748000,"Memphis city, Tennessee",B25002_002,246518,4056
2018,4748000,"Memphis city, Tennessee",B25002_002,252517,4720
2019,4748000,"Memphis city, Tennessee",B25002_002,254423,4870
2005,4748000,"Memphis city, Tennessee",B25002_003,37403,4265
2006,4748000,"Memphis city, Tennessee",B25002_003,45426,4128
2007,4748000,"Memphis city, Tennessee",B25002_003,46498,4180
2008,4748000,"Memphis city, Tennessee",B25002_003,53275,4000
2009,4748000,"Memphis city, Tennessee",B25002_003,55805,4135
2010,4748000,"Memphis city, Tennessee",B25002_003,52445,3676
2011,4748000,"Memphis city, Tennessee",B25002_003,48309,3548
2012,4748000,"Memphis city, Tennessee",B25002_003,49362,3543
2013,4748000,"Memphis city, Tennessee",B25002_003,47308,3327
2014,4748000,"Memphis city, Tennessee",B25002_003,50084,3184
2015,4748000,"Memphis city, Tennessee",B25002_003,49629,3767
2016,4748000,"Memphis city, Tennessee",B25002_003,46915,3681
2017,4748000,"Memphis city, Tennessee",B25002_003,51603,3745
2018,4748000,"Memphis city, Tennessee",B25002_003,47788,3300
2019,4748000,"Memphis city, Tennessee",B25002_003,47050,3354
2005,47157,"Shelby County, Tennessee",B25003_001,349193,4217
2005,4748000,"Memphis city, Tennessee",B25003_001,261983,4867
2006,47157,"Shelby County, Tennessee",B25003_001,341666,4934
2006,4748000,"Memphis city, Tennessee",B25003_001,248836,5436
2007,47157,"Shelby County, Tennessee",B25003_001,345332,4313
2007,4748000,"Memphis city, Tennessee",B25003_001,250885,4727
2008,47157,"Shelby County, Tennessee",B25003_001,341589,4520
2008,4748000,"Memphis city, Tennessee",B25003_001,244929,4698
2009,47157,"Shelby County, Tennessee",B25003_001,341189,4888
2009,4748000,"Memphis city, Tennessee",B25003_001,254006,4635
2010,47157,"Shelby County, Tennessee",B25003_001,339014,4232
