year,GEOID,NAME,variable,estimate
2010,47157,"Shelby County, Tennessee",HUEST,398273
2011,47157,"Shelby County, Tennessee",HUEST,398979
2012,47157,"Shelby County, Tennessee",HUEST,399547
2013,47157,"Shelby County, Tennessee",HUEST,400990
2014,47157,"Shelby County, Tennessee",HUEST,402246
2015,47157,"Shelby County, Tennessee",HUEST,402818
2016,47157,"Shelby County, Tennessee",HUEST,404141
2017,47157,"Shelby County, Tennessee",HUEST,405455
2018,47157,"Shelby County, Tennessee",HUEST,406116
2019,47157,"Shelby County, Tennessee",HUEST,407273
