year,GEOID,NAME,variable,estimate,moe,dataset
2010,47157,"Shelby County, Tennessee",B25001_001,398395,1939,ACS1
2011,47157,"Shelby County, Tennessee",B25001_001,398014,911,ACS1
2012,47157,"Shelby County, Tennessee",B25001_001,399778,804,ACS1
2013,47157,"Shelby County, Tennessee",B25001_001,401161,842,ACS1
2014,47157,"Shelby County, Tennessee",B25001_001,403395,878,ACS1
2015,47157,"Shelby County, Tennessee",B25001_001,404294,995,ACS1
2016,47157,"Shelby County, Tennessee",B25001_001,406023,800,ACS1
2017,47157,"Shelby County, Tennessee",B25001_001,405590,825,ACS1
2018,47157,"Shelby County, Tennessee",B25001_001,406236,842,ACS1
2019,47157,"Shelby County, Tennessee",B25001_001,407303,814,ACS1
2021,47157,"Shelby County, Tennessee",B25001_001,401377,2111,ACS1
2022,47157,"Shelby County, Tennessee",B25001_001,402687,150,ACS1
